SatzID	Verb	Satz	Annotator A	Annotator B	Annotator C	Annotator D	Annotator E	Annotator F	Annotator G	Annotator H	Annotator I	
tueba-s2683-1	sagen	' Es ist doch verrückt', sagt Peter Lehmann, Betriebsratsvize und Mitglied im Aufsichtsrat,' niemand will das Geld.'	*	78741	*	*	*	*	*	78848	*	
tueba-s9625-3	sagen	' Wenn wir wieder die Regierung übernehmen, wird dieses Gesetz keinen Bestand haben', sagte Stoiber.	*	*	78848	*	*	*	*	78848	*	
tueba-s21169-6	übrig#lassen	Aber wenn die' sechs' Punkte in der Hansestadt gebunkert werden sollen, muß das Millertorteam seine spielerische Leistung noch verbessern, die beim 2:1-Triumph gegen Mainz am vergangenen Freitag erheblich zu wünschen übrig ließ.	75123	75123	*	75123	*	75123	*	75123	*	
tueba-s21986-1	sagen	' Einer von hundert, nicht mehr, würde ich sagen, hat Vergewaltigungen und Umbringen und solche Sachen gemacht.	*	*	*	*	78741	*	*	78741	*	
tueba-s28265-3	sagen	Seit fast 14 Jahren erklimmt Manfred Toews nun täglich- außer sonntags- die 200 Stufen, um die Turmluken zu gewinnen und sein Lied zu blasen, was auch einmal gesagt werden muß.	*	*	*	*	78848	*	*	78848	*	
tueba-s60920-0	sagen	Gesagt, alle Mann und Frau getan.	78741	*	*	*	*	*	*	78848	*	
tueba-s69294-1	sagen	Sehen Sie sich auf der Welt um und sagen Sie mir, ob das unwahr ist!	*	*	*	*	*	78848	*	78848	*	
tueba-s71059-2	sagen	Die Sprache der Literatur ist die Suche des Augenblicks, der ihr vorausliegt: nichts sagen, sprechen, um nichts zu sagen.	78741	*	*	*	*	78741	*	78741	*	
tueba-s94092-1	sagen	' Das ist der Heldenstadt-Blues, weil jeder seine Meinung sagen muß!'	78848	78848	*	*	*	78741	*	78741	78848	
tueba-s98742-1	sagen	' Ich bin für die Partei und für das Böse zuständig', sagt Trittin selbst und meint, daß es in der öffentlichen Wahrnehmung immer auch eine Zuschreibung von bestimmten Rollen gebe.	78848	*	*	78848	78741	*	*	78848	*	
tueba-s104006-2	wissen	Da das Ehepaar Fischer-Menzel über Berufliches nicht sprach, will die Senatorin davon nicht gewußt haben.	*	*	*	77221	*	*	*	77221	*	
tueba-s104694-2	wissen	Die Debatte um das' Schwarzbuch' zeigt: Manche deutsche Linke wollen von den kommunistischen Verbrechen noch immer nichts wissen	77221	*	*	77221	77221	77221	*	77221	*	
tueba-s2634-3	sagen	' Früher dachten alle, wir haben das große Los gezogen', sagt Claus Neumann, ein breitschultriger Mittfünfziger mit einem sorgfältig gestutztem Vollbart, der in den letzten Tagen viel Sonne abbekommen haben muß.	73759	*	*	*	*	78741	*	*	78741	
tueba-s3492-1	ertragen	Doch das ist mehr emotionale Nähe, als Billy ertragen kann.	77454	*	74518	*	*	*	*	*	74518	
tueba-s6812-1	machen	' Ich hatte gerade ein paar Fotos gemacht, als sie zusammenbrach.	78519	*	*	*	*	*	*	*	82751	
tueba-s7954-1	schreiben	Uns hängt es nämlich auch zum Hals heraus, den ganzen Frühling über Ullrichs vereiterte Weisheitszähne oder verschleimten Bronchien schreiben zu müssen.	82842	*	*	*	*	*	*	*	78962	
